Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.020214,1.4086E-08,0.0092665,0,0,0,11.639,0.071628,-5.9879E-09,-0.00097471,0.16274,-1.6369E-08,0.14673,0,0,0,0,0,0,package://diablo_mesh/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://diablo_mesh/meshes/base_link.STL,,base_link-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_motor,0.0012043,-9.954E-08,-0.066749,0,0,0,1.3837,0.003352,2.7785E-09,-6.5913E-05,0.0034908,4.5045E-10,0.0034856,0,0,0,0,0,0,package://diablo_mesh/meshes/left_motor.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://diablo_mesh/meshes/left_motor.STL,,left_motor-1,坐标系4,基准轴1,left_j4,continuous,0,0.18755,0,1.5708,0.13433,-3.1416,base_link,0,0,-1,,,,,,,,,,,,
left_leg1,0.056675,-0.014633,-0.0079998,0,0,0,0.10382,3.6972E-05,2.4106E-05,4.3699E-10,0.00029278,-4.1243E-11,0.00032532,0,0,0,0,0,0,package://diablo_mesh/meshes/left_leg1.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://diablo_mesh/meshes/left_leg1.STL,,left_leg1-1,坐标系1,基准轴1,left_j1,continuous,0,0,0,0,0,-2.8729,left_motor,0,0,-1,,,,,,,,,,,,
left_leg2,0.092381,7.2105E-07,0.012349,0,0,0,0.18218,4.1372E-05,5.1445E-09,-7.3659E-06,0.00048219,2.5521E-11,0.00050441,0,0,0,0,0,0,package://diablo_mesh/meshes/left_leg2.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://diablo_mesh/meshes/left_leg2.STL,,left_leg2-1,坐标系2,基准轴2,left_j2,continuous,0.14,0,0,0,0,2.8729,left_leg1,0,0,1,,,,,,,,,,,,
left_wheel,1.7359E-08,-1.5164E-10,5.0791E-09,0,0,0,2.9494,0.0069338,2.8693E-09,4.6779E-09,0.006934,-5.0441E-11,0.012567,0,0,0,0,0,0,package://diablo_mesh/meshes/left_wheel.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://diablo_mesh/meshes/left_wheel.STL,,left_wheel-1,坐标系3,基准轴4,left_j3,continuous,0.14,0,0.0537,0,0,0.13433,left_leg2,0,0,-1,,,,,,,,,,,,
left_leg3,0.072113,0.016825,-0.008,0,0,0,0.071103,1.6657E-05,-5.5246E-06,3.9598E-14,0.00017966,-6.5493E-15,0.00019328,0,0,0,0,0,0,package://diablo_mesh/meshes/left_leg3.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://diablo_mesh/meshes/left_leg3.STL,,right_leg3_link-1,坐标系5,基准轴3,left_j5,continuous,0.09,0,0,0,0,-2.8729,left_motor,0,0,1,,,,,,,,,,,,
right_motor,0.0012044,1.8203E-07,0.066749,0,0,0,1.3838,0.003352,-2.6527E-09,6.5914E-05,0.0034908,-7.2968E-10,0.0034856,0,0,0,0,0,0,package://diablo_mesh/meshes/right_motor.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://diablo_mesh/meshes/right_motor.STL,,right_motor-1,坐标系14,基准轴1,right_j4,continuous,0,-0.18755,0,1.5708,0.13433,3.1416,base_link,0,0,-1,,,,,,,,,,,,
right_leg1,0.056675,-0.014633,0.0079998,0,0,0,0.10382,3.6972E-05,2.4106E-05,-4.3686E-10,0.00029278,4.1459E-11,0.00032532,0,0,0,0,0,0,package://diablo_mesh/meshes/right_leg1.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://diablo_mesh/meshes/right_leg1.STL,,right_leg1-1,坐标系11,基准轴1,right_j1,continuous,0,0,0,0,0,-2.8729,right_motor,0,0,-1,,,,,,,,,,,,
right_leg2,0.092381,7.2069E-07,-0.012349,0,0,0,0.18218,4.1372E-05,5.1777E-09,7.3659E-06,0.00048219,4.5225E-11,0.00050441,0,0,0,0,0,0,package://diablo_mesh/meshes/right_leg2.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://diablo_mesh/meshes/right_leg2.STL,,right_leg2-1,坐标系12,基准轴2,right_j2,continuous,0.14,0,0,0,0,2.8729,right_leg1,0,0,1,,,,,,,,,,,,
right_wheel,-1.1211E-08,-1.346E-08,5.0793E-09,0,0,0,2.9494,0.0069339,-1.3146E-07,-3.0392E-09,0.0069339,-3.5756E-09,0.012567,0,0,0,0,0,0,package://diablo_mesh/meshes/right_wheel.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://diablo_mesh/meshes/right_wheel.STL,,right_wheel-1,坐标系13,基准轴4,right_j3,continuous,0.14,0,-0.0537,0,0,-3.0073,right_leg2,0,0,-1,,,,,,,,,,,,
